x,y,z
-295.4423259036624,-3.618124987505693e-14,-52.09445330007909
-295.4423259036624,-3.618124987505693e-14,52.094453300079124
-295.4423259036624,3.618124987505693e-14,-52.09445330007909
-295.4423259036624,3.618124987505693e-14,52.094453300079124
-259.8076211353316,-3.1817257161747206e-14,-149.99999999999994
-259.8076211353316,-3.1817257161747206e-14,150.00000000000003
-259.8076211353316,3.1817257161747206e-14,-149.99999999999994
-259.8076211353316,3.1817257161747206e-14,150.00000000000003
-226.32195202064662,-189.90666646784672,-52.09445330007909
-226.32195202064662,-189.90666646784672,52.094453300079124
-226.32195202064662,189.90666646784672,-52.09445330007909
-226.32195202064662,189.90666646784672,52.094453300079124
-199.0241844506815,-167.00111976792584,-149.99999999999994
-199.0241844506815,-167.00111976792584,150.00000000000003
-199.0241844506815,167.00111976792584,-149.99999999999994
-199.0241844506815,167.00111976792584,150.00000000000003
-192.83628290596184,-2.3615633662025964e-14,-229.81333293569338
-192.83628290596184,2.3615633662025964e-14,-229.81333293569338
-192.83628290596178,-2.3615633662025954e-14,229.8133329356934
-192.83628290596178,2.3615633662025954e-14,229.8133329356934
-147.72116295183122,-123.9527733499605,-229.81333293569338
-147.72116295183122,123.9527733499605,-229.81333293569338
-147.7211629518312,-1.8090624937528464e-14,-26.047226650039544
-147.7211629518312,-1.8090624937528464e-14,26.047226650039562
-147.7211629518312,1.8090624937528464e-14,-26.047226650039544
-147.7211629518312,1.8090624937528464e-14,26.047226650039562
-147.72116295183116,-123.95277334996047,229.8133329356934
-147.72116295183116,123.95277334996047,229.8133329356934
-129.9038105676658,-1.5908628580873603e-14,-74.99999999999997
-129.9038105676658,-1.5908628580873603e-14,75.00000000000001
-129.9038105676658,1.5908628580873603e-14,-74.99999999999997
-129.9038105676658,1.5908628580873603e-14,75.00000000000001
-113.16097601032331,-94.95333323392336,-26.047226650039544
-113.16097601032331,-94.95333323392336,26.047226650039562
-113.16097601032331,94.95333323392336,-26.047226650039544
-113.16097601032331,94.95333323392336,26.047226650039562
-102.60604299770067,-1.2565616213030983e-14,-281.9077862357725
-102.60604299770067,1.2565616213030983e-14,-281.9077862357725
-102.60604299770061,-1.2565616213030975e-14,281.9077862357725
-102.60604299770061,1.2565616213030975e-14,281.9077862357725
-99.51209222534075,-83.50055988396292,-74.99999999999997
-99.51209222534075,-83.50055988396292,75.00000000000001
-99.51209222534075,83.50055988396292,-74.99999999999997
-99.51209222534075,83.50055988396292,75.00000000000001
-96.41814145298092,-1.1807816831012982e-14,-114.90666646784669
-96.41814145298092,1.1807816831012982e-14,-114.90666646784669
-96.41814145298089,-1.1807816831012977e-14,114.9066664678467
-96.41814145298089,1.1807816831012977e-14,114.9066664678467
-78.60078906881552,-65.95389311788631,-281.9077862357725
-78.60078906881552,65.95389311788631,-281.9077862357725
-78.60078906881547,-65.95389311788627,281.9077862357725
-78.60078906881547,65.95389311788627,281.9077862357725
-73.86058147591561,-61.97638667498025,-114.90666646784669
-73.86058147591561,61.97638667498025,-114.90666646784669
-73.86058147591558,-61.97638667498023,114.9066664678467
-73.86058147591558,61.97638667498023,114.9066664678467
-51.303021498850335,-6.282808106515491e-15,-140.95389311788625
-51.303021498850335,6.282808106515491e-15,-140.95389311788625
-51.303021498850306,-6.282808106515487e-15,140.95389311788625
-51.303021498850306,6.282808106515487e-15,140.95389311788625
-51.30302149885029,-290.9538931178862,-52.09445330007909
-51.30302149885029,-290.9538931178862,52.094453300079124
-51.30302149885022,290.95389311788625,-52.09445330007909
-51.30302149885022,290.95389311788625,52.094453300079124
-45.11511995413058,-255.86055958573297,-149.99999999999994
-45.11511995413058,-255.86055958573297,150.00000000000003
-45.11511995413052,255.860559585733,-149.99999999999994
-45.11511995413052,255.860559585733,150.00000000000003
-39.30039453440776,-32.976946558943155,-140.95389311788625
-39.30039453440776,32.976946558943155,-140.95389311788625
-39.30039453440774,-32.97694655894313,140.95389311788625
-39.30039453440774,32.97694655894313,140.95389311788625
-33.485669114684896,-189.90666646784675,-229.81333293569338
-33.48566911468489,-189.9066664678467,229.8133329356934
-33.48566911468485,189.90666646784675,-229.81333293569338
-33.485669114684846,189.9066664678467,229.8133329356934
-25.651510749425146,-145.4769465589431,-26.047226650039544
-25.651510749425146,-145.4769465589431,26.047226650039562
-25.65151074942511,145.47694655894313,-26.047226650039544
-25.65151074942511,145.47694655894313,26.047226650039562
-22.55755997706529,-127.93027979286649,-74.99999999999997
-22.55755997706529,-127.93027979286649,75.00000000000001
-22.55755997706526,127.9302797928665,-74.99999999999997
-22.55755997706526,127.9302797928665,75.00000000000001
-17.817352384165417,-101.04722665003959,-281.9077862357725
-17.817352384165407,-101.04722665003955,281.9077862357725
-17.817352384165392,101.0472266500396,-281.9077862357725
-17.817352384165382,101.04722665003955,281.9077862357725
-16.742834557342448,-94.95333323392337,-114.90666646784669
-16.742834557342444,-94.95333323392335,114.9066664678467
-16.742834557342427,94.95333323392337,-114.90666646784669
-16.742834557342423,94.95333323392335,114.9066664678467
-8.908676192082709,-50.523613325019795,-140.95389311788625
-8.908676192082703,-50.523613325019774,140.95389311788625
-8.908676192082696,50.5236133250198,-140.95389311788625
-8.908676192082691,50.523613325019774,140.95389311788625
-3.6739403974420595e-14,-4.4992793479855726e-30,-300.0
-3.6739403974420595e-14,4.4992793479855726e-30,-300.0
-2.814401625810819e-14,-2.3615633662025964e-14,-300.0
